Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
3.348, 0.3286454981505323, 0.09, -0.3239296110215429, -69.32093675861019, 261, 140, 9.816173779884476e-05, 11, 177
3.444, 0.3386636880569797, 0.22, -0.1939296110215429, -41.50093675861018, 307, 144, 9.833440419772931e-05, 11, 45
3.542, 0.3486818779634271, 0.61, 0.1960703889784571, 41.95906324138983, 238, 174, 9.844208864015448e-05, 12, 95
3.642, 0.3589444139651539, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 155, 255, 9.855695056703839e-05, 12, 161
3.749, 0.3699399882527181, 0.54, 0.1260703889784571, 26.97906324138982, 131, 300, 9.867697739469675e-05, 12, 70
3.849, 0.3802025242544447, 0.11, -0.3039296110215429, -65.04093675861019, 186, 230, 9.877955943217581e-05, 13, 122
3.95, 0.3904650602561714, 0.08, -0.3339296110215429, -71.46093675861017, 275, 146, 9.885191398890415e-05, 13, 171
4.051, 0.4009719423531773, 0.34, -0.07392961102154288, -15.82093675861018, 276, 143, 9.898097811729874e-05, 13, 9
4.153, 0.4114788244501831, 0.74, 0.3260703889784571, 69.77906324138982, 199, 217, 9.907989993984664e-05, 14, 153
4.253, 0.4214970143566306, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 134, 296, 9.910581104082546e-05, 14, 127
4.366, 0.4332256269300324, 0.39, -0.02392961102154288, -5.120936758610177, 134, 287, 9.92271248121925e-05, 15, 10
4.47, 0.4437325090270383, 0.1, -0.3139296110215429, -67.18093675861019, 232, 177, 9.926901767942692e-05, 15, 207
4.579, 0.4544837372193234, 0.11, -0.3039296110215429, -65.04093675861019, 289, 125, 9.925392819814881e-05, 15, 107
4.675, 0.46474627322105, 0.4600000000000001, 0.04607038897845712, 9.859063241389824, 286, 152, 9.941096753391445e-05, 16, 27
4.775, 0.4750088092227768, 0.7800000000000001, 0.3660703889784571, 78.33906324138983, 198, 234, 9.947828465398466e-05, 16, 166
4.875, 0.4850269991292242, 0.6600000000000001, 0.2460703889784571, 52.65906324138983, 129, 291, 9.949271777009727e-05, 16, 130
4.975, 0.49553388122623, 0.2, -0.2139296110215429, -45.78093675861019, 163, 258, 9.96048002464784e-05, 17, 70
5.074, 0.5053077250373983, 0.1, -0.3139296110215429, -67.18093675861019, 254, 150, 9.95876478197474e-05, 17, 191
5.173, 0.515814607134404, 0.21, -0.2039296110215429, -43.64093675861018, 293, 148, 9.971285658890473e-05, 17, 45
5.274, 0.5263214892314101, 0.51, 0.09607038897845712, 20.55906324138983, 256, 182, 9.979550421528442e-05, 18, 72
5.37, 0.535850986947299, 0.71, 0.2960703889784571, 63.35906324138983, 172, 245, 9.978603108888249e-05, 18, 143
5.468, 0.5458691768537465, 0.76, 0.3460703889784571, 74.05906324138982, 156, 273, 9.982976899300411e-05, 18, 45
5.564, 0.5558873667601939, 0.8100000000000001, 0.3960703889784572, 84.75906324138982, 122, 283, 9.990786606042306e-05, 18, 44
