Tempo (s), Distância (m), Refletância (%), Erro (%), Correção (deg/s), Velocidade Esq. (deg/s), Velocidade Dir. (deg/s), Velocidade Média (m/s), Oscilação, Suavidade (deg/s)
3.975, 0.3020117737650988, 0.44, 0.01913853515465988, 4.019092382478575, 165, 161, 7.597780472077957e-05, 20, 11
4.016, 0.3054326190990077, 0.44, 0.01913853515465988, 4.019092382478575, 160, 166, 7.605393901867721e-05, 20, 12
4.053, 0.3083647722423581, 0.45, 0.02913853515465987, 6.119092382478574, 152, 160, 7.608309209039184e-05, 20, 13
4.095, 0.3115412714809878, 0.45, 0.02913853515465987, 6.119092382478574, 165, 161, 7.607845457411178e-05, 20, 13
4.135, 0.3147177707196176, 0.45, 0.02913853515465987, 6.119092382478574, 146, 159, 7.611070634089905e-05, 20, 21
4.173, 0.3174055777676888, 0.38, -0.04086146484534012, -8.580907617521426, 147, 169, 7.606172484248472e-05, 21, 5
4.216, 0.3208264231015976, 0.32, -0.1008614648453401, -21.18090761752143, 167, 163, 7.609734893301652e-05, 21, 22
4.253, 0.3240029223402273, 0.28, -0.1408614648453401, -29.58090761752143, 176, 148, 7.61822060522519e-05, 21, 26
4.292, 0.3269350754835778, 0.27, -0.1508614648453401, -31.68090761752143, 186, 130, 7.617313035498086e-05, 21, 30
4.33, 0.3298672286269283, 0.29, -0.1308614648453401, -27.48090761752143, 180, 131, 7.618180799698112e-05, 21, 9
4.369, 0.333043727865558, 0.33, -0.09086146484534012, -19.08090761752143, 204, 126, 7.62288230408693e-05, 21, 30
4.407, 0.3359758810089085, 0.4, -0.02086146484534012, -4.380907617521426, 181, 135, 7.623686884704072e-05, 21, 29
4.447, 0.3389080341522589, 0.43, 0.009138535154659877, 1.919092382478574, 155, 153, 7.621048665443196e-05, 22, 44
4.485, 0.3418401872956094, 0.37, -0.05086146484534013, -10.68090761752143, 154, 157, 7.621854789199762e-05, 23, 9
4.526, 0.345016686534239, 0.29, -0.1308614648453401, -27.48090761752143, 167, 159, 7.622993516001747e-05, 23, 12
4.565, 0.3481931857728688, 0.21, -0.2108614648453401, -44.28090761752143, 182, 140, 7.627452043217279e-05, 23, 32
4.601, 0.35088099282094, 0.17, -0.2508614648453401, -52.68090761752143, 194, 125, 7.626189802672027e-05, 23, 25
4.638, 0.3538131459642905, 0.15, -0.2708614648453401, -56.88090761752143, 210, 115, 7.628571495564692e-05, 23, 24
