Tempo  Distância           Refletância  Erro                Velocidade Esq.  Velocidade Dir.  Velocidade Média      Oscilação  Suavidade
5354   411.9675166407416   18           -26.0               195              126              0.07694574460977615   10         32
5394   415.1440158793712   18           -26.0               220              110              0.07696403705587156   10         46
5436   418.3205151180009   17           -27.0               192              106              0.07695373714459177   10         33
5476   421.4970143566306   18           -26.0               187              141              0.07697169728937738   10         41
5517   424.9178596905395   7            -37.0               213              132              0.07701973168217138   10         34
5554   427.85001283389     3            -41.00000000000001  208              107              0.07703457199025745   10         30
5596   431.0265120725197   1            -43.0               192              130              0.07702403718236592   10         38
5641   434.6917035017078   0            -44.0               200              126              0.07705933407227579   10         8
5684   438.1125488356166   0            -44.0               205              106              0.07707821056221263   10         28
5723   440.8003558836879   0            -44.0               194              132              0.07702260281035958   10         36
5763   443.9768551223175   0            -44.0               200              110              0.07703919054699247   10         23
5806   447.3977004562265   0            -44.0               198              118              0.07705781957565044   10         7
5845   450.5741996948561   0            -44.0               201              124              0.07708711714197709   10         12
5883   453.2620067429274   1            -43.0               205              116              0.07704606607902896   10         12
5920   456.4385059815571   1            -43.0               198              123              0.07710109898337113   10         15
5961   459.6150052201867   1            -43.0               206              119              0.07710367475594476   10         13
6003   463.0358505540957   2            -42.0               193              123              0.07713407472165511   10         17
6043   465.7236576021669   3            -41.00000000000001  199              110              0.07706828687773736   10         15
6080   468.9001568407966   5            -39.0               211              126              0.07712173632249943   10         21
6123   472.3210021747055   6            -38.0               186              127              0.07713882119462769   10         23
6164   475.2531553180559   9            -35.0               198              117              0.07710142039553146   10         18
6205   478.6740006519648   9            -35.0               205              123              0.0771432716602683    10         10
6247   481.8504998905945   7            -37.0               195              124              0.07713310387235385   10         14
6284   484.7826530339449   7            -37.0               198              115              0.0771455526788582    10         10
6324   487.9591522725747   8            -36.0               207              111              0.07715989125119776   10         14
6364   491.1356515112043   11           -33.0               204              121              0.0771740495774991    10         11
6403   494.312150749834    14           -30.0               201              128              0.07720008601434235   10         10
